Designator,Mid X,Mid Y,Rotation,Layer
C1,27.96,54.3532,270.0,top
C10,46.0375,64.844,0.0,top
C11,56.575,58.1315,90.0,top
C12,53.575,58.1315,90.0,top
C13,55.25,30.95,90.0,top
C14,48.75,42.95,270.0,top
C15,53.7875,49.4125,0.0,top
C16,53.7875,42.9125,0.0,top
C17,53.7875,16.9125,0.0,top
C18,47.25,47.45,270.0,top
C19,15.9625,58.4125,180.0,top
C2,15.0,68.4125,0.0,top
C20,13.9625,55.9125,0.0,top
C21,12.75,49.0435,270.0,top
C22,25.5,46.1625,270.0,top
C23,52.0,30.95,90.0,top
C24,34.75,49.7,270.0,top
C25,20.2125,45.9125,180.0,top
C26,40.0,30.95,90.0,top
C27,45.0,42.95,270.0,top
C28,38.2875,49.4125,0.0,top
C29,38.2875,42.9125,0.0,top
C3,21.9625,54.8475,0.0,top
C30,38.5,16.9125,0.0,top
C31,43.5,47.45,270.0,top
C32,23.2304,26.7364,270.0,top
C33,20.4625,33.9125,0.0,top
C34,19.5375,36.1625,0.0,top
C35,36.75,30.95,90.0,top
C4,41.075,63.9405,270.0,top
C5,51.075,63.1315,270.0,top
C6,27.5,9.75,180.0,top
C7,38.575,58.9405,90.0,top
C8,35.4625,9.75,180.0,top
C9,35.575,58.9405,90.0,top
D1,22.525,68.5,180.0,top
J1,11.4,76.0375,270.0,top
J10,38.5,70.02,0.0,top
J11,53.75,70.02,0.0,top
J12,56.0,-0.5,0.0,top
J2,4.06,27.43,0.0,bottom
J3,36.0,77.8185,0.0,top
J4,55.75,77.8185,0.0,top
J5,65.02,27.43,0.0,bottom
J6,35.0,-0.475,0.0,top
J7,30.5,23.9725,180.0,top
J8,63.77,77.75,90.0,top
J9,27.98,77.75,270.0,top
R1,37.575,62.403,0.0,top
R10,55.0,24.4125,270.0,top
R11,55.0,20.1625,270.0,top
R12,52.5,24.4125,270.0,top
R13,52.5,20.1625,270.0,top
R14,52.5,52.6625,270.0,top
R15,52.5,46.1625,270.0,top
R16,52.0,35.4125,270.0,top
R17,40.0,35.4125,270.0,top
R18,16.6054,17.6625,90.0,top
R19,14.1054,17.6625,90.0,top
R2,54.575,61.594,180.0,top
R20,13.0,32.6625,90.0,top
R21,39.5,52.6625,270.0,top
R22,39.5,46.1625,270.0,top
R23,10.5,32.6625,270.0,top
R24,15.5,32.6625,90.0,top
R25,39.7125,24.4125,270.0,top
R26,39.7125,20.1625,270.0,top
R27,37.2125,24.4125,270.0,top
R28,37.2125,20.1625,270.0,top
R29,37.0,52.6625,270.0,top
R3,37.575,64.903,180.0,top
R30,37.0,46.1625,270.0,top
R31,36.75,35.4125,270.0,top
R32,45.5,8.5,270.0,top
R33,48.0,8.5,270.0,top
R34,50.5,8.5,270.0,top
R35,53.0,8.5,270.0,top
R36,27.0,68.5,180.0,top
R37,21.5,6.5,180.0,top
R4,54.575,64.094,0.0,top
R5,41.075,58.903,90.0,top
R6,51.075,58.094,90.0,top
R7,55.25,35.4125,270.0,top
R8,55.0,52.6625,270.0,top
R9,55.0,46.1625,270.0,top
SW1,8.0,62.0,90.0,top
SW2,14.0,5.0,0.0,top
TP1,32.0,56.25,0.0,top
TP10,12.5,-1.5,0.0,top
TP11,17.0,-1.5,0.0,top
TP12,33.5,65.0,0.0,top
TP13,9.25,69.75,0.0,top
TP14,10.0,55.0,0.0,top
TP15,25.0,39.0,0.0,top
TP16,47.0,54.5,0.0,top
TP2,60.5,56.25,0.0,top
TP3,57.5,17.0,0.0,top
TP4,50.0,17.0,0.0,top
TP5,3.0,55.0,0.0,top
TP7,22.0,17.5,0.0,top
TP8,3.5,-1.5,0.0,top
TP9,8.0,-1.5,0.0,top
U1,25.46,60.5,0.0,top
U2,45.9475,74.941,0.0,top
U3,46.075,61.403,0.0,top
U4,46.0,32.9125,270.0,top
U5,18.5758,50.3175,0.0,top
U6,31.25,49.6625,90.0,top
U7,15.0,62.7625,90.0,top
U8,18.6054,24.8029,90.0,top
